Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
366,3/26/2020,6:00 PM,Andaman and Nicobar Islands,0,0,1
393,3/27/2020,10:00 AM,Andaman and Nicobar Islands,0,0,1
421,3/28/2020,6:00 PM,Andaman and Nicobar Islands,0,0,6
448,3/29/2020,7:30 PM,Andaman and Nicobar Islands,0,0,9
475,3/30/2020,9:30 PM,Andaman and Nicobar Islands,0,0,9
503,3/31/2020,8:30 PM,Andaman and Nicobar Islands,0,0,10
531,4/1/2020,7:30 PM,Andaman and Nicobar Islands,0,0,10
560,4/2/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
589,4/3/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
620,4/4/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
650,4/5/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
680,4/6/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
710,4/7/2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
741,4/8/2020,5:00 PM,Andaman and Nicobar Islands,0,0,10
772,4/9/2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
803,4/10/2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
834,4/11/2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
865,4/12/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
896,4/13/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
928,4/14/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
960,4/15/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
993,4/16/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
1026,4/17/2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
1059,4/18/2020,5:00 PM,Andaman and Nicobar Islands,11,0,12
1092,4/19/2020,5:00 PM,Andaman and Nicobar Islands,11,0,14
1125,4/20/2020,5:00 PM,Andaman and Nicobar Islands,11,0,15
1158,4/21/2020,5:00 PM,Andaman and Nicobar Islands,11,0,16
1191,4/22/2020,5:00 PM,Andaman and Nicobar Islands,11,0,17
1223,4/23/2020,5:00 PM,Andaman and Nicobar Islands,11,0,18
1255,4/24/2020,5:00 PM,Andaman and Nicobar Islands,11,0,22
1287,4/25/2020,5:00 PM,Andaman and Nicobar Islands,11,0,27
1319,4/26/2020,5:00 PM,Andaman and Nicobar Islands,11,0,33
1351,4/27/2020,5:00 PM,Andaman and Nicobar Islands,11,0,33
1383,4/28/2020,5:00 PM,Andaman and Nicobar Islands,11,0,33
1415,4/29/2020,5:00 PM,Andaman and Nicobar Islands,15,0,33
1447,4/30/2020,5:00 PM,Andaman and Nicobar Islands,15,0,33
1479,5/1/2020,5:00 PM,Andaman and Nicobar Islands,16,0,33
1511,5/2/2020,5:00 PM,Andaman and Nicobar Islands,16,0,33
1543,5/3/2020,5:00 PM,Andaman and Nicobar Islands,17,0,33
1575,5/4/2020,5:00 PM,Andaman and Nicobar Islands,32,0,33
1607,5/5/2020,5:00 PM,Andaman and Nicobar Islands,32,0,33
1639,5/6/2020,8:00 AM,Andaman and Nicobar Islands,32,0,33
1672,5/7/2020,8:00 AM,Andaman and Nicobar Islands,32,0,33
1705,5/8/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1738,5/9/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1771,5/10/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1804,5/11/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1837,5/12/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1870,5/13/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1903,5/14/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1936,5/15/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
1969,5/16/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2002,5/17/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2035,5/18/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2068,5/19/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2101,5/20/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2135,5/21/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2169,5/22/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2203,5/23/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2237,5/24/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2272,5/25/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2307,5/26/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2343,5/27/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2379,5/28/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2415,5/29/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2451,5/30/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2487,5/31/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2523,6/1/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2559,6/2/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2595,6/3/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2631,6/4/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2667,6/5/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2703,6/6/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2739,6/7/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2775,6/8/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2811,6/9/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2847,6/10/2020,8:00 AM,Andaman and Nicobar Islands,33,0,33
2883,6/11/2020,8:00 AM,Andaman and Nicobar Islands,33,0,34
2920,6/12/2020,8:00 AM,Andaman and Nicobar Islands,33,0,38
2956,6/13/2020,8:00 AM,Andaman and Nicobar Islands,33,0,38
2992,6/14/2020,8:00 AM,Andaman and Nicobar Islands,33,0,38
3028,6/15/2020,8:00 AM,Andaman and Nicobar Islands,33,0,38
3064,6/16/2020,8:00 AM,Andaman and Nicobar Islands,33,0,41
3100,6/17/2020,8:00 AM,Andaman and Nicobar Islands,33,0,44
3136,6/18/2020,8:00 AM,Andaman and Nicobar Islands,33,0,44
3172,6/19/2020,8:00 AM,Andaman and Nicobar Islands,33,0,44
3208,6/20/2020,8:00 AM,Andaman and Nicobar Islands,35,0,45
3244,6/21/2020,8:00 AM,Andaman and Nicobar Islands,36,0,47
3280,6/22/2020,8:00 AM,Andaman and Nicobar Islands,37,0,48
3316,6/23/2020,8:00 AM,Andaman and Nicobar Islands,37,0,48
3352,6/24/2020,8:00 AM,Andaman and Nicobar Islands,40,0,50
3388,6/25/2020,8:00 AM,Andaman and Nicobar Islands,43,0,56
3424,6/26/2020,8:00 AM,Andaman and Nicobar Islands,43,0,59
3460,6/27/2020,8:00 AM,Andaman and Nicobar Islands,43,0,72
3496,6/28/2020,8:00 AM,Andaman and Nicobar Islands,43,0,72
3532,6/29/2020,8:00 AM,Andaman and Nicobar Islands,45,0,76
3568,6/30/2020,8:00 AM,Andaman and Nicobar Islands,46,0,90
3604,7/1/2020,8:00 AM,Andaman and Nicobar Islands,50,0,97
3640,7/2/2020,8:00 AM,Andaman and Nicobar Islands,50,0,100
3676,7/3/2020,8:00 AM,Andaman and Nicobar Islands,51,0,109
3712,7/4/2020,8:00 AM,Andaman and Nicobar Islands,54,0,116
3748,7/5/2020,8:00 AM,Andaman and Nicobar Islands,66,0,119
3784,7/6/2020,8:00 AM,Andaman and Nicobar Islands,72,0,125
3820,7/7/2020,8:00 AM,Andaman and Nicobar Islands,74,0,141
3856,7/8/2020,8:00 AM,Andaman and Nicobar Islands,75,0,147
3892,7/9/2020,8:00 AM,Andaman and Nicobar Islands,77,0,149
3928,7/10/2020,8:00 AM,Andaman and Nicobar Islands,83,0,151
3964,7/11/2020,8:00 AM,Andaman and Nicobar Islands,92,0,156
4000,7/12/2020,8:00 AM,Andaman and Nicobar Islands,93,0,163
4036,7/13/2020,8:00 AM,Andaman and Nicobar Islands,93,0,163
4072,7/14/2020,8:00 AM,Andaman and Nicobar Islands,109,0,166
4108,7/15/2020,8:00 AM,Andaman and Nicobar Islands,109,0,166
4144,7/16/2020,8:00 AM,Andaman and Nicobar Islands,130,0,176
