Updated On,State,Total Doses ,Sessions, Sites ,First Dose ,Second Dose ,Male ,Female ,Transgender, Covaxin ,CoviShield ,Sputnik V ,AEFI,18-44 Years ,45-60 Years,60+ Years 
16/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,
17/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,
18/01/2021,Andaman and Nicobar Islands,42,9,2,42,0,29,13,0,0,42,,,,,
19/01/2021,Andaman and Nicobar Islands,89,12,2,89,0,53,36,0,0,89,,,,,
20/01/2021,Andaman and Nicobar Islands,124,16,3,124,0,67,57,0,0,124,,,,,
21/01/2021,Andaman and Nicobar Islands,239,22,6,239,0,110,129,0,0,239,,,,,
22/01/2021,Andaman and Nicobar Islands,552,29,6,552,0,231,321,0,0,552,,,,,
23/01/2021,Andaman and Nicobar Islands,920,32,9,920,0,342,578,0,0,920,,,,,
24/01/2021,Andaman and Nicobar Islands,966,38,9,966,0,357,609,0,0,966,,,,,
25/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
26/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
27/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
28/01/2021,Andaman and Nicobar Islands,1956,48,10,1956,0,563,1393,0,0,1956,,,,,
29/01/2021,Andaman and Nicobar Islands,2024,50,10,2024,0,588,1436,0,0,2024,,,,,
30/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
31/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
1/2/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
2/2/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
3/2/2021,Andaman and Nicobar Islands,2107,56,12,2107,0,601,1506,0,0,2107,,,,,
4/2/2021,Andaman and Nicobar Islands,2290,57,13,2290,0,659,1631,0,0,2290,,,,,
5/2/2021,Andaman and Nicobar Islands,2514,63,13,2514,0,705,1809,0,0,2514,,,,,
6/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
7/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
8/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
9/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
10/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
11/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
12/2/2021,Andaman and Nicobar Islands,2852,74,14,2852,0,773,2079,0,0,2852,,,,,
13/02/2021,Andaman and Nicobar Islands,3040,74,14,3040,0,938,2102,0,0,3040,,,,,
14/02/2021,Andaman and Nicobar Islands,3040,78,14,3040,0,938,2102,0,0,3040,,,,,
15/02/2021,Andaman and Nicobar Islands,3467,78,14,3363,104,1176,2187,0,0,3363,,,,,
16/02/2021,Andaman and Nicobar Islands,3467,81,14,3363,104,1176,2187,0,0,3363,,,,,
17/02/2021,Andaman and Nicobar Islands,3664,86,14,3560,104,1343,2217,0,0,3560,,,,,
18/02/2021,Andaman and Nicobar Islands,3846,95,14,3505,341,1455,2050,0,0,3505,,,,,
19/02/2021,Andaman and Nicobar Islands,4898,101,14,4246,652,1805,2441,0,0,4246,,,,,
20/02/2021,Andaman and Nicobar Islands,5653,102,14,4707,946,2221,2486,0,0,4707,,,,,
21/02/2021,Andaman and Nicobar Islands,5653,102,14,4707,946,2221,2486,0,0,4707,,,,,
22/02/2021,Andaman and Nicobar Islands,6856,118,14,5358,1498,2773,2585,0,0,5358,,,,,
23/02/2021,Andaman and Nicobar Islands,7058,122,14,5436,1622,2831,2605,0,0,5436,,,,,
24/02/2021,Andaman and Nicobar Islands,7240,128,14,5518,1722,2896,2622,0,0,5518,,,,,
25/02/2021,Andaman and Nicobar Islands,7763,134,15,5867,1896,3103,2764,0,0,5867,,,,,
26/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
27/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
28/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
1/3/2021,Andaman and Nicobar Islands,7989,149,15,6029,1960,3205,2824,0,0,6029,,,,,
2/3/2021,Andaman and Nicobar Islands,8724,161,15,6638,2086,3630,3008,0,0,6638,,,,,
3/3/2021,Andaman and Nicobar Islands,8837,172,16,6749,2088,3721,3028,0,0,6749,,,,,
4/3/2021,Andaman and Nicobar Islands,9361,182,16,7266,2095,4133,3133,0,0,7266,,,,,
5/3/2021,Andaman and Nicobar Islands,9897,198,16,7799,2098,4559,3240,0,0,7799,,,,,
6/3/2021,Andaman and Nicobar Islands,10498,224,16,8288,2210,4915,3373,0,0,8288,,,,,
7/3/2021,Andaman and Nicobar Islands,11101,227,16,8848,2253,5251,3597,0,0,8848,,,,,
8/3/2021,Andaman and Nicobar Islands,12004,261,16,9629,2375,5872,3757,0,0,9629,,,,,
9/3/2021,Andaman and Nicobar Islands,9932,500,5,7542,2390,6068,3864,0,0,9932,,,,,
10/3/2021,Andaman and Nicobar Islands,10161,300,3,7735,2426,6211,3950,0,0,10161,,,,,
11/3/2021,Andaman and Nicobar Islands,10704,700,7,8218,2486,6591,4113,0,0,10704,,,,,
12/3/2021,Andaman and Nicobar Islands,11321,700,7,8735,2586,6977,4344,0,0,11321,,,,,
13/03/2021,Andaman and Nicobar Islands,11638,200,2,8899,2739,7188,4450,0,0,11638,,,,,
14/03/2021,Andaman and Nicobar Islands,11693,100,1,8926,2767,7218,4475,0,0,11693,,,,,
15/03/2021,Andaman and Nicobar Islands,12045,500,5,9202,2843,7401,4644,0,0,12045,,,,,
16/03/2021,Andaman and Nicobar Islands,14826,700,7,11950,2876,7391,4559,0,0,14826,,1,,,
17/03/2021,Andaman and Nicobar Islands,15489,0,0,12509,2980,7719,4790,0,0,15489,,1,,,
18/03/2021,Andaman and Nicobar Islands,16131,800,8,12948,3183,7962,4986,0,0,16131,,1,,,
19/03/2021,Andaman and Nicobar Islands,16612,1000,10,13293,3319,8148,5145,0,0,16612,,1,,,
20/03/2021,Andaman and Nicobar Islands,17451,1100,11,13852,3599,8440,5412,0,0,17451,,1,,,
